employee_id,Age,Basic Pay,No of Clients,Years of Service,Performance Score
1,27,53389,308,23,1
2,36,21127,111,27,1
3,36,34687,149,25,1
4,52,38280,162,6,1
5,43,63183,506,1,0
6,46,44016,373,40,0
7,29,56815,205,22,1
8,60,59116,671,15,0
9,32,54482,944,7,0
10,58,53384,410,39,0
11,60,21061,808,17,1
12,41,24074,360,16,0
13,32,19082,846,34,0
14,45,24977,249,5,0
15,28,62053,576,0,0
16,52,64773,198,38,0
17,48,49978,88,15,1
18,55,61428,430,2,1
19,51,53008,160,22,1
20,42,56689,809,15,0
21,33,60919,965,18,0
22,50,26023,538,13,0
23,51,51323,87,17,1
24,61,24183,918,10,0
25,32,16426,200,14,1
26,32,39204,136,2,1
27,43,16973,616,37,1
28,54,48187,73,27,0
29,47,22695,430,24,0
30,30,37943,965,21,0
31,60,16584,573,11,0
32,46,66926,609,4,0
33,44,24706,806,8,1
34,58,28452,180,14,1
35,45,55646,433,39,1
36,50,21155,205,39,1
37,34,27411,65,24,1
38,54,55462,810,32,0
39,29,64848,256,3,1
40,28,66309,269,28,1
41,38,30057,12,23,0
42,50,67060,54,0,0
43,25,34393,515,31,1
44,44,16789,900,28,0
45,35,65862,335,20,1
46,35,44062,650,15,1
47,35,16547,833,21,1
48,40,25322,912,1,0
49,46,28244,202,26,1
50,31,50735,512,8,1
51,54,44201,415,37,1
52,48,41589,565,32,0
53,50,54131,622,23,0
54,29,54263,379,37,1
55,42,60259,291,1,0
56,43,30307,970,3,0
57,50,45393,921,26,1
58,50,55880,385,14,0
59,36,27972,238,15,1
60,34,45156,144,20,1
61,42,47860,837,1,0
62,39,61635,887,17,1
63,51,59847,716,11,1
64,44,50256,145,13,0
65,29,53545,68,21,0
66,36,40939,783,37,1
67,36,46596,249,6,1
68,28,65257,301,27,1
69,30,56394,894,26,1
70,45,47027,913,29,0
71,28,35807,650,14,0
72,38,63479,184,2,1
73,27,50613,876,35,1
74,30,38324,609,10,1
75,50,46262,772,17,1
76,45,48334,845,15,1
77,51,20278,465,10,1
78,29,27013,277,13,0
79,37,17149,246,19,1
80,57,32748,690,2,1
81,48,44780,235,10,1
82,51,48393,120,16,1
83,25,19280,430,4,0
84,31,42118,263,27,1
85,30,32612,187,8,0
86,31,61869,990,6,1
87,26,21387,680,12,1
88,56,52678,202,38,0
89,35,21633,588,18,0
90,47,52963,199,27,1
91,27,49172,198,25,1
92,25,17959,579,2,0
93,60,38578,988,14,1
94,55,65634,966,22,0
95,27,66523,75,17,1
96,56,31644,928,9,0
97,52,43269,963,22,0
98,26,45127,764,17,1
99,34,20897,452,11,0
100,40,47400,851,17,0
